Czas[s],X[g],Y[g],Z[g]
0.0008,-3.0000,-1.0000,0.0000
0.0008,-1.0000,-1.0000,0.0000
0.0008,-1.0000,-1.0000,0.0000
0.0144,-3.0000,-3.0000,0.0000
0.0144,-1.0000,-1.0000,0.0000
0.0144,-1.0000,-1.0000,1.0000
0.0144,-1.0000,-1.0000,0.0000
0.0144,-1.0000,-1.0000,0.0000
0.0144,-1.0000,-1.0000,1.0000
0.0144,-1.0000,-1.0000,0.0000
0.0144,-1.0000,-1.0000,0.0000
0.0144,-1.0000,-1.0000,0.0000
0.0144,-1.0000,-3.0000,0.0000
0.0241,-1.0000,-1.0000,0.0000
0.0241,-1.0000,-1.0000,1.0000
0.0241,-1.0000,-3.0000,0.0000
0.0241,-1.0000,-1.0000,0.0000
0.0241,-1.0000,-1.0000,1.0000
0.0241,-1.0000,-1.0000,0.0000
0.0271,-1.0000,-1.0000,1.0000
0.0271,-3.0000,-1.0000,0.0000
0.0305,-1.0000,-1.0000,1.0000
0.0305,-1.0000,-1.0000,0.0000
0.0305,-1.0000,-1.0000,1.0000
0.0400,-1.0000,-3.0000,1.0000
0.0406,-1.0000,-1.0000,0.0000
0.0406,-3.0000,-3.0000,0.0000
0.0406,-1.0000,-1.0000,1.0000
0.0468,-3.0000,-3.0000,0.0000
0.0468,-1.0000,-1.0000,0.0000
0.0468,-3.0000,-1.0000,0.0000
0.0468,-3.0000,-1.0000,0.0000
0.0468,-1.0000,-1.0000,0.0000
0.0468,-1.0000,-1.0000,1.0000
0.0468,-1.0000,-1.0000,1.0000
0.0621,-1.0000,-3.0000,0.0000
0.0621,-1.0000,-1.0000,1.0000
0.0621,-1.0000,-1.0000,0.0000
0.0621,-1.0000,-3.0000,1.0000
0.0621,-3.0000,-1.0000,1.0000
0.0621,-1.0000,-1.0000,0.0000
0.0621,-1.0000,-1.0000,0.0000
0.0685,-1.0000,-3.0000,0.0000
0.0685,-1.0000,-1.0000,0.0000
0.0685,-3.0000,-1.0000,0.0000
0.0685,-1.0000,-1.0000,1.0000
0.0685,-1.0000,-1.0000,1.0000
0.0685,-1.0000,-1.0000,1.0000
0.0685,-1.0000,-1.0000,0.0000
0.0685,-1.0000,-1.0000,0.0000
0.0685,-1.0000,-3.0000,0.0000
0.0706,-1.0000,-1.0000,0.0000
0.0706,-1.0000,-1.0000,1.0000
0.0706,-1.0000,-3.0000,0.0000
0.0770,-1.0000,-3.0000,0.0000
0.0770,-1.0000,-1.0000,1.0000
0.0770,-1.0000,-3.0000,1.0000
0.0770,-1.0000,-1.0000,0.0000
0.0958,-1.0000,-1.0000,0.0000
0.0968,-1.0000,-1.0000,0.0000
0.0968,-1.0000,-1.0000,0.0000
0.0968,-1.0000,-1.0000,0.0000
0.1066,-3.0000,-1.0000,0.0000
0.1066,-1.0000,-1.0000,0.0000
0.1066,-1.0000,-1.0000,0.0000
0.1066,-1.0000,-3.0000,0.0000
0.1066,-1.0000,-1.0000,1.0000
0.1066,-3.0000,-1.0000,1.0000
0.1072,-1.0000,-1.0000,0.0000
0.1072,-3.0000,-1.0000,0.0000
0.1072,-1.0000,-3.0000,0.0000
0.1124,-3.0000,-1.0000,0.0000
0.1124,-1.0000,-3.0000,1.0000
0.1124,-1.0000,-1.0000,0.0000
0.1124,-1.0000,-3.0000,0.0000
0.1124,-1.0000,-1.0000,1.0000
0.1124,-1.0000,-3.0000,0.0000
0.1192,-3.0000,-1.0000,0.0000
0.1192,-1.0000,-1.0000,0.0000
0.1192,-1.0000,-3.0000,0.0000
0.1205,-1.0000,-1.0000,1.0000
0.1220,-1.0000,-1.0000,0.0000
0.1241,-1.0000,-3.0000,1.0000
0.1241,-3.0000,-3.0000,1.0000
0.1289,-1.0000,-1.0000,1.0000
0.1289,-1.0000,-1.0000,1.0000
0.1299,-1.0000,-3.0000,1.0000
0.1408,-3.0000,-1.0000,1.0000
0.1408,-1.0000,-1.0000,0.0000
0.1408,-1.0000,-3.0000,0.0000
0.1408,-1.0000,-1.0000,0.0000
0.1408,-1.0000,-1.0000,0.0000
0.1408,-1.0000,-1.0000,0.0000
0.1408,-1.0000,-1.0000,0.0000
